plot,depth,BulkDensity_60C.mg_mm3,BulkDensity_105C.mg_mm3,C_LossOfIgnition.pct
1,5-10,1.78313511878947,1.76668434254882,4.39076528430951
1,15-20,1.85077608056436,1.82272166214037,4.18143478846068
1,25-30,1.55633895283833,1.7391510552338,3.8979870351416
1,35-40,1.3932048685577,1.36560364002967,3.64939097205638
2,0-5,1.18232422302419,1.16989720337461,9.27735630705926
2,10-15,1.87862824129521,1.85153606931448,4.08228049012762
2,20-25,1.11070438114488,1.10075737349576,3.44875298349994
2,30-35,1.30169062615636,1.28332511916696,3.76717443249701
2,40-45,1.52623411761585,1.45526698608195,3.26020842626009
3,5-10,1.56827559315155,1.55003983044049,4.33474525949093
3,15-20,1.50859239158546,1.49593674693198,3.27634885669076
3,25-30,1.46796245915419,1.45583304408165,3.16473988439306
3,35-40,1.34545830730483,1.31346167692897,3.5309996516893
4,0-5,1.08285222041404,1.05807476524547,6.28134072314593
4,10-15,1.38524710834888,1.37339503584423,4.18476115278325
4,20-25,1.62000103450883,1.58576084261166,3.61488904795991
4,30-35,1.52848679210749,1.47588358129909,3.38214549607039
4,40-45,1.68258231373719,1.65853194994779,2.85050348567005
5,5-10,1.72743079732778,1.71212891836771,3.66705289199261
5,15-20,1.60806439419561,1.59324071686561,3.04106120651696
5,25-30,1.65978983555289,1.64490538030184,2.54304467768019
5,35-40,1.50821860880483,1.50412574962219,1.86154741128564
6,0-5,0.991337978012709,0.982284152754052,9.1968049700466
6,10-15,1.85475496066877,1.84049324074249,3.45391801035284
6,20-25,1.60806439419561,1.59379957750738,10.1111044019081
6,30-35,1.6717264758661,1.65957042974605,1.80631942197779
6,40-45,1.25394406490349,1.24717358452046,1.86881146294483
7,5-10,1.5324656722119,1.50870986274976,4.34486330307739
7,15-20,1.61602215440442,1.59323603720829,3.85368830084458
7,25-30,1.43299366960175,1.40267672074421,3.3585532386049
7,35-40,1.67188067302958,1.64632431165684,3.20346320346322
8,0-5,1.18232422302419,1.15244296337655,6.25643984668012
8,10-15,1.63591655492645,1.60881316821871,3.99278540104682
8,20-25,1.67968423607491,1.63449633160604,3.58763018337486
8,30-35,1.55236007273393,1.53640928422231,2.995724520453
8,40-45,2.43012036208097,2.41261535801264,2.36089622371213
9,5-10,1.55236007273393,1.52954823386749,4.07220696108912
9,15-20,1.55633895283833,1.53838469213824,3.50846751804555
9,25-30,1.58816999367358,1.54212477026978,3.15905743740794
9,35-40,1.54042343242071,1.52255452060463,2.30411572240399
10,0-5,1.10274662093607,1.08466317868305,4.99331914683032
10,10-15,1.75926183816303,1.74239356334703,3.49382065249223
10,20-25,1.77119847847625,1.75559469986667,3.5060464832922
10,30-35,1.37728934814007,1.36792658940034,2.64676410628519
10,40-45,1.50775137893475,1.49615612296882,3.44773299748113
11,5-10,1.74334631774541,1.72437333232218,4.08937724788309
11,15-20,1.64785319523967,1.63217543503906,3.32398014245629
11,25-30,1.69559975649254,1.62888150179358,2.67479087059796
11,35-40,1.60806439419561,1.59758441464816,1.9356358984717
12,0-5,1.30169062615636,1.28853478436938,5.52156962185808
12,10-15,1.79507175910268,NA,3.14358038500031
12,20-25,1.91443816223486,1.85658350486411,3.07525570683465
