plot,depth1,depth2,pH.pH
1,0_5,5_10,5.80960512161255
1,10_15,15_20,6.0131402015686
1,20_25,20_30,6.35263967514038
1,40_45,45_50,7.37291049957275
2,0_5,5_10,5.82311010360718
2,10_15,15_20,6.17452907562256
2,20_25,20_30,6.47408866882324
2,40_45,45_50,6.7958550453186
3,0_5,5_10,5.87655019760132
3,10_15,15_20,6.01967287063599
3,20_25,20_30,6.14134645462036
3,40_45,45_50,6.81826591491699
4,0_5,5_10,5.93195104598999
4,10_15,15_20,6.00320386886597
4,20_25,20_30,6.56357526779175
4,40_45,45_50,6.8407187461853
5,0_5,5_10,5.89898157119751
5,10_15,15_20,5.92248916625977
5,20_25,20_30,6.22526502609253
5,40_45,45_50,6.59738969802856
6,0_5,5_10,5.97742795944214
6,10_15,15_20,6.02295684814453
6,20_25,20_30,6.08946132659912
6,40_45,45_50,6.56965017318726
7,0_5,5_10,5.868004322052
7,10_15,15_20,5.95069932937622
7,20_25,20_30,6.1888689994812
7,40_45,45_50,6.98843288421631
8,0_5,5_10,5.8685188293457
8,10_15,15_20,5.90224266052246
8,20_25,20_30,6.11579036712646
8,40_45,45_50,6.84471893310547
9,0_5,5_10,5.69287490844727
9,10_15,15_20,5.92570447921753
9,20_25,20_30,6.14721727371216
9,40_45,45_50,6.80817174911499
10,0_5,5_10,5.92132806777954
10,10_15,15_20,6.04950952529907
10,20_25,20_30,6.07637023925781
10,40_45,45_50,6.67016649246216
11,0_5,5_10,5.92262363433838
11,10_15,15_20,6.00041532516479
11,20_25,20_30,6.36602067947388
11,40_45,45_50,6.60670709609985
12,0_5,5_10,6.06433820724487
12,10_15,15_20,5.97211360931396
12,20_25,20_30,6.15398931503296
12,40_45,45_50,6.63549852371216
13,0_5,5_10,5.75058317184448
13,10_15,15_20,5.70165157318115
13,20_25,20_30,6.02524709701538
13,40_45,45_50,6.54085779190063
14,0_5,5_10,5.76215505599976
14,10_15,15_20,5.5764946937561
14,20_25,20_30,5.64749526977539
14,40_45,45_50,6.38902378082275
15,0_5,5_10,5.81550216674805
15,10_15,15_20,5.70458745956421
15,20_25,20_30,5.79663896560669
15,40_45,45_50,6.20427465438843
16,0_5,5_10,5.53572702407837
16,10_15,15_20,5.51931428909302
16,20_25,20_30,5.67978048324585
16,40_45,45_50,6.28186559677124
17,0_5,5_10,5.69842386245728
17,10_15,15_20,5.6838493347168
17,20_25,20_30,5.86613512039185
17,40_45,45_50,6.12509346008301
18,0_5,5_10,5.6494402885437
18,10_15,15_20,5.59061002731323
18,20_25,20_30,5.68649530410767
18,40_45,45_50,6.04610300064087
19,0_5,5_10,5.41638135910034
19,10_15,15_20,5.4195671081543
19,20_25,20_30,5.66322708129883
19,40_45,45_50,6.93339967727661
20,0_5,5_10,5.49453210830688
20,10_15,15_20,5.54177236557007
20,20_25,20_30,5.63089990615845
20,40_45,45_50,6.69346380233765
21,0_5,5_10,5.61154794692993
21,10_15,15_20,5.53841352462769
21,20_25,20_30,5.7987208366394
21,40_45,45_50,6.12179231643677
22,0_5,5_10,5.4669361114502
22,10_15,15_20,5.51635694503784
22,20_25,20_30,5.73646306991577
22,40_45,45_50,6.70244884490967
